Galaxy1_Wavelength,Galaxy1_Flux,Galaxy1_Interpolated_Wavelength,Galaxy1_Interpolated_Flux,Galaxy2_Wavelength,Galaxy2_Flux,Galaxy2_Interpolated_Wavelength,Galaxy2_Interpolated_Flux,Galaxy3_Wavelength,Galaxy3_Flux,Galaxy3_Interpolated_Wavelength,Galaxy3_Interpolated_Flux,Galaxy4_Wavelength,Galaxy4_Flux,Galaxy4_Interpolated_Wavelength,Galaxy4_Interpolated_Flux,Galaxy5_Wavelength,Galaxy5_Flux,Galaxy5_Interpolated_Wavelength,Galaxy5_Interpolated_Flux,Galaxy6_Wavelength,Galaxy6_Flux,Galaxy6_Interpolated_Wavelength,Galaxy6_Interpolated_Flux,Galaxy7_Wavelength,Galaxy7_Flux,Galaxy7_Interpolated_Wavelength,Galaxy7_Interpolated_Flux,Galaxy8_Wavelength,Galaxy8_Flux,Galaxy8_Interpolated_Wavelength,Galaxy8_Interpolated_Flux,Galaxy9_Wavelength,Galaxy9_Flux,Galaxy9_Interpolated_Wavelength,Galaxy9_Interpolated_Flux,Galaxy10_Wavelength,Galaxy10_Flux,Galaxy10_Interpolated_Wavelength,Galaxy10_Interpolated_Flux
1.5865873,2.7023501,nan,nan,1.5865873,0.31429058,nan,nan,1.5865873,-1.1504678,nan,nan,1.5865873,3.4663818,nan,nan,1.5865873,1.0771048,nan,nan,1.5865873,3.3535333,nan,nan,1.5865873,-0.0719719,nan,nan,1.5865873,4.206693,nan,nan,1.5865873,0.06030022,nan,nan,1.5865873,3.7586155,nan,nan
1.5465426,2.76657,nan,nan,1.5465426,0.19837023,nan,nan,1.5465426,-1.2427096,nan,nan,1.5465426,3.5610573,nan,nan,1.5465426,1.1162205,nan,nan,1.5465426,3.2776337,nan,nan,1.5465426,-0.15740666,nan,nan,1.5465426,4.059086,nan,nan,1.5465426,0.0002786507,nan,nan,1.5465426,3.637457,nan,nan
1.5037907,2.8518388,nan,nan,1.5037907,0.052765682,nan,nan,1.5037907,-1.3541259,nan,nan,1.5037907,3.6662877,nan,nan,1.5037907,1.1503782,nan,nan,1.5037907,3.1936421,nan,nan,1.5037907,-0.24873911,nan,nan,1.5037907,3.866067,nan,nan,1.5037907,-0.060342114,nan,nan,1.5037907,3.5080466,nan,nan
1.462398,2.9389143,nan,nan,1.462398,-0.10777289,nan,nan,1.462398,-1.46413,nan,nan,1.462398,3.7624314,nan,nan,1.462398,1.2068337,nan,nan,1.462398,3.1110673,nan,nan,1.462398,-0.3343287,nan,nan,1.462398,3.6381648,nan,nan,1.462398,-0.1096029,nan,nan,1.462398,3.3835576,nan,nan
1.4199557,3.0289404,nan,nan,1.4199557,-0.28924185,nan,nan,1.4199557,-1.5755976,nan,nan,1.4199557,3.8557262,nan,nan,1.4199557,1.2570754,nan,nan,1.4199557,3.022187,nan,nan,1.4199557,-0.4216669,nan,nan,1.4199557,3.359716,nan,nan,1.4199557,-0.14511058,nan,nan,1.4199557,3.2549977,nan,nan
1.378398,3.1175208,nan,nan,1.378398,-0.47721615,nan,nan,1.378398,-1.6783355,nan,nan,1.378398,3.9433534,nan,nan,1.378398,1.2925224,nan,nan,1.378398,2.9314249,nan,nan,1.378398,-0.50554883,nan,nan,1.378398,3.0298493,nan,nan,1.378398,-0.16120043,nan,nan,1.378398,3.13275,nan,nan
1.3747483,3.1267068,nan,nan,1.3747483,-0.49333823,nan,nan,1.3747483,-1.6867669,nan,nan,1.3747483,3.952269,nan,nan,1.3747483,1.2948499,nan,nan,1.3747483,2.9235625,nan,nan,1.3747483,-0.51245844,nan,nan,1.3747483,2.9982836,nan,nan,1.3747483,-0.16079387,nan,nan,1.3747483,3.1234226,nan,nan
1.3692158,3.1397526,nan,nan,1.3692158,-0.5175394,nan,nan,1.3692158,-1.6989859,nan,nan,1.3692158,3.9649286,nan,nan,1.3692158,1.2983785,nan,nan,1.3692158,2.9119048,nan,nan,1.3692158,-0.5226138,nan,nan,1.3692158,2.9497538,nan,nan,1.3692158,-0.16020164,nan,nan,1.3692158,3.1110349,nan,nan
1.365488,3.1479893,nan,nan,1.365488,-0.5335343,nan,nan,1.365488,-1.7070966,nan,nan,1.365488,3.9729185,nan,nan,1.365488,1.3007561,nan,nan,1.365488,2.9041038,nan,nan,1.365488,-0.5293552,nan,nan,1.365488,2.9170485,nan,nan,1.365488,-0.15984376,nan,nan,1.365488,3.1035693,nan,nan
1.3636119,3.151975,nan,nan,1.3636119,-0.5415354,nan,nan,1.3636119,-1.711156,nan,nan,1.3636119,3.9767852,nan,nan,1.3636119,1.3019526,nan,nan,1.3636119,2.900057,nan,nan,1.3636119,-0.5328762,nan,nan,1.3636119,2.9003644,nan,nan,1.3636119,-0.15971056,nan,nan,1.3636119,3.0989075,nan,nan
1.3617278,3.155874,nan,nan,1.3617278,-0.5499059,nan,nan,1.3617278,-1.7152289,nan,nan,1.3617278,3.9805684,nan,nan,1.3617278,1.3031542,nan,nan,1.3617278,2.8954854,nan,nan,1.3617278,-0.53685194,nan,nan,1.3617278,2.8836231,nan,nan,1.3617278,-0.15966472,nan,nan,1.3617278,3.0929496,nan,nan
1.3579348,3.163422,nan,nan,1.3579348,-0.5666259,nan,nan,1.3579348,-1.7231339,nan,nan,1.3579348,3.9878936,nan,nan,1.3579348,1.3055732,nan,nan,1.3579348,2.8861048,nan,nan,1.3579348,-0.545023,nan,nan,1.3579348,2.8492525,nan,nan,1.3579348,-0.15958464,nan,nan,1.3579348,3.0788977,nan,nan
1.3521825,3.1741467,nan,nan,1.3521825,-0.5925427,nan,nan,1.3521825,-1.7348827,nan,nan,1.3521825,3.998302,nan,nan,1.3521825,1.3092419,nan,nan,1.3521825,2.8720038,nan,nan,1.3521825,-0.55725056,nan,nan,1.3521825,2.7940655,nan,nan,1.3521825,-0.15965365,nan,nan,1.3521825,3.0586255,nan,nan
1.3364598,3.199563,nan,nan,1.3364598,-0.6614263,nan,nan,1.3364598,-1.7706153,nan,nan,1.3364598,4.022947,nan,nan,1.3364598,1.3112879,nan,nan,1.3364598,2.8344924,nan,nan,1.3364598,-0.5895609,nan,nan,1.3364598,2.637591,nan,nan,1.3364598,-0.16066146,nan,nan,1.3364598,3.0148787,nan,nan
1.3304138,3.2080092,nan,nan,1.3304138,-0.6857759,nan,nan,1.3304138,-1.7831445,nan,nan,1.3304138,4.0311213,nan,nan,1.3304138,1.3115802,nan,nan,1.3304138,2.8213077,nan,nan,1.3304138,-0.6007303,nan,nan,1.3304138,2.5774806,nan,nan,1.3304138,-0.16087207,nan,nan,1.3304138,3.0040998,nan,nan
1.3263359,3.2133331,nan,nan,1.3263359,-0.7020649,nan,nan,1.3263359,-1.79159,nan,nan,1.3263359,4.036271,nan,nan,1.3263359,1.3117776,nan,nan,1.3263359,2.813059,nan,nan,1.3263359,-0.60765016,nan,nan,1.3263359,2.534583,nan,nan,1.3263359,-0.16106865,nan,nan,1.3263359,2.9997208,nan,nan
1.3242824,3.2159054,nan,nan,1.3242824,-0.7103969,nan,nan,1.3242824,-1.7957742,nan,nan,1.3242824,4.038759,nan,nan,1.3242824,1.3118769,nan,nan,1.3242824,2.808517,nan,nan,1.3242824,-0.61150295,nan,nan,1.3242824,2.512636,nan,nan,1.3242824,-0.16122974,nan,nan,1.3242824,2.9957078,nan,nan
1.3222193,3.2184186,nan,nan,1.3222193,-0.7190119,nan,nan,1.3222193,-1.7999704,nan,nan,1.3222193,4.0411906,nan,nan,1.3222193,1.3119766,nan,nan,1.3222193,2.803417,nan,nan,1.3222193,-0.6158338,nan,nan,1.3222193,2.4905171,nan,nan,1.3222193,-0.16128066,nan,nan,1.3222193,2.9888775,nan,nan
1.3180633,3.2267284,nan,nan,1.3180633,-0.73619324,nan,nan,1.3180633,-1.8084996,nan,nan,1.3180633,4.049191,nan,nan,1.3180633,1.3121772,nan,nan,1.3180633,2.791924,nan,nan,1.3180633,-0.62526137,nan,nan,1.3180633,2.44622,nan,nan,1.3180633,-0.15969978,nan,nan,1.3180633,2.9710815,nan,nan
